"CONTINENT","REGION","WHO_REGION","ADMIN0","ADMIN0ID","ADMIN0_FIP","ADMIN0ISO2","ADMIN0ISO3","ADMIN1","ADMIN1ID","ADMIN2","ADMIN2ID","Alt_ADMIN2","ADMIN3","ADMIN3ID","IUs_ADM","IUs_NAME","IU_ID","IU_CODE","Year","PopTot","PopPreSAC","PopSAC","PopAdult","Endemicity","PopReq","PopTrg","PopTreat","Cov","Cum_MDA","MDA","EffMDA","MDA_n","EffMDA_n","EpiCov","EpiMDA","EpiEffMDA","EpiMDA_n","EpiEffMDA_n","MDA_scheme","JRF_submitted","Endemicity_ID"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","Kyegegwa","49770",null,null,"0","ADM2","Kyegegwa","49770","UGA0512649770","2022","352729","50088","106524","183772","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Northern Region","5123","LIRA","49771",null,null,"0","ADM2","LIRA","49771","UGA0512349771","2022","522026","74128","157652","271976","Endemic (under MDA)","71152","71152","68473","96.230000000000004","15","1","1","8","8","96.230000000000004","1","1","8","7","IVM","1","2"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Northern Region","5123","Lamwo","49772",null,null,"0","ADM2","Lamwo","49772","UGA0512349772","2022","170462","24206","51480","88811","Endemic (under MDA)","140188","140188","130263","92.920000000000002","12","1","1","8","8","92.920000000000002","1","1","8","3","IVM","1","2"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","Luuka","49773",null,null,"0","ADM2","Luuka","49773","UGA0512549773","2022","307044","43600","92727","159970","Non-endemic","0","0","0","0.0","3","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Central Region","5124","Luwero","49774",null,null,"0","ADM2","Luwero","49774","UGA0512449774","2022","581086","82514","175488","302746","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Central Region","5124","Lwengo","49775",null,null,"0","ADM2","Lwengo","49775","UGA0512449775","2022","350274","49739","105783","182493","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Central Region","5124","Lyantonde","49776",null,null,"0","ADM2","Lyantonde","49776","UGA0512449776","2022","120259","17077","36318","62655","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","MANAFWA","49777",null,null,"0","ADM2","MANAFWA","49777","UGA0512549777","2022","214014","30390","64632","111501","Endemic (under post-intervention surveillance)","0","0","0","0.0","13","0","0","0","0","0.0","0","0","0","0","Not delivered","1","3"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","MASINDI","49778",null,null,"0","ADM2","MASINDI","49778","UGA0512649778","2022","402900","57212","121676","209911","Endemic (under post-intervention surveillance)","0","0","0","0.0","21","0","0","4","3","0.0","0","0","4","2","Not delivered","1","3"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","MAYUGE","49779",null,null,"0","ADM2","MAYUGE","49779","UGA0512549779","2022","609338","86526","184020","317465","Non-endemic","0","0","0","0.0","5","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","MBALE","49780",null,null,"0","ADM2","MBALE","49780","UGA0512549780","2022","626668","88987","189254","326494","Endemic (under post-intervention surveillance)","0","0","0","0.0","13","0","0","0","0","0.0","0","0","0","0","Not delivered","1","3"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Northern Region","5123","MOROTO","49781",null,null,"0","ADM2","MOROTO","49781","UGA0512349781","2022","132935","18877","40146","69259","Non-endemic","0","0","0","0.0","7","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Northern Region","5123","MOYO","49782",null,null,"0","ADM2","MOYO","49782","UGA0512349782","2022","119981","17037","36234","62510","Endemic (under MDA)","92958","92958","90130","96.959999999999994","23","1","1","8","8","96.959999999999994","1","1","8","8","IVM","1","2"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Central Region","5124","MUKONO","49783",null,null,"0","ADM2","MUKONO","49783","UGA0512449783","2022","762754","108311","230352","397395","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Northern Region","5123","Maracha/Teregago","49784",null,null,"0","ADM2","Maracha/Teregago","49784","UGA0512349784","2022","236752","33619","71499","123348","Endemic (under post-intervention surveillance)","0","0","0","0.0","13","0","0","0","0","0.0","0","0","0","0","Not delivered","1","3"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Central Region","5124","Masaka","49785",null,null,"0","ADM2","Masaka","49785","UGA0512449785","2022","377230","53567","113923","196537","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
